userId:0,serialNumber:T2020080220343435672533950804183,cardNumber:6212261202030400000,dealTime:20200802210217420,InOrOut:0	
userId:78,serialNumber:T2020080220343444550201441670972,cardNumber:6212261202030400078,dealTime:20200802211557445,InOrOut:0	
userId:79,serialNumber:T2020080220343444540540508489838,cardNumber:6212261202030400079,dealTime:20200802211227445,InOrOut:0	
userId:80,serialNumber:T2020080220343444575195720012739,cardNumber:6212261202030400080,dealTime:20200802203713445,InOrOut:0	
userId:81,serialNumber:T2020080220343444695478911448674,cardNumber:6212261202030400081,dealTime:20200802204237446,InOrOut:0	
userId:82,serialNumber:T2020080220343444665556176684549,cardNumber:6212261202030400082,dealTime:20200802212326446,InOrOut:0	
userId:83,serialNumber:T2020080220343444625511634694456,cardNumber:6212261202030400083,dealTime:20200802205635446,InOrOut:1	
userId:84,serialNumber:T2020080220343444685520331097754,cardNumber:6212261202030400084,dealTime:20200802213134446,InOrOut:1	
userId:85,serialNumber:T2020080220343444615599767200672,cardNumber:6212261202030400085,dealTime:20200802205723446,InOrOut:1	
userId:86,serialNumber:T2020080220343444635532024854862,cardNumber:6212261202030400086,dealTime:20200802212846446,InOrOut:0	
userId:87,serialNumber:T2020080220343444605329077351662,cardNumber:6212261202030400087,dealTime:20200802212031447,InOrOut:0	
userId:88,serialNumber:T2020080220343444755117754547358,cardNumber:6212261202030400088,dealTime:20200802213139447,InOrOut:0	
userId:89,serialNumber:T2020080220343444745394124971659,cardNumber:6212261202030400089,dealTime:20200802210829447,InOrOut:0	
userId:90,serialNumber:T2020080220343444774865135682560,cardNumber:6212261202030400090,dealTime:20200802211056447,InOrOut:1	
userId:91,serialNumber:T2020080220343444794234938098916,cardNumber:6212261202030400091,dealTime:20200802205207447,InOrOut:1	
userId:92,serialNumber:T2020080220343444764514925296542,cardNumber:6212261202030400092,dealTime:20200802204109447,InOrOut:0	
userId:93,serialNumber:T2020080220343444724762163455354,cardNumber:6212261202030400093,dealTime:20200802204543447,InOrOut:1	
userId:94,serialNumber:T2020080220343444884637755604829,cardNumber:6212261202030400094,dealTime:20200802211257448,InOrOut:0	
userId:95,serialNumber:T2020080220343444814850132115836,cardNumber:6212261202030400095,dealTime:20200802210019448,InOrOut:0	
userId:96,serialNumber:T2020080220343444834640306472131,cardNumber:6212261202030400096,dealTime:20200802210029448,InOrOut:1	
userId:97,serialNumber:T2020080220343444804151225218751,cardNumber:6212261202030400097,dealTime:20200802211858448,InOrOut:1	
userId:98,serialNumber:T2020080220343444854506713869734,cardNumber:6212261202030400098,dealTime:20200802204328448,InOrOut:1	
userId:99,serialNumber:T2020080220343444844644747155466,cardNumber:6212261202030400099,dealTime:20200802212452448,InOrOut:0	
userId:100,serialNumber:T2020080220343444877917066888275,cardNumber:6212261202030400100,dealTime:20200802205119448,InOrOut:0	
userId:101,serialNumber:T2020080220343444997955200822366,cardNumber:6212261202030400101,dealTime:20200802205521449,InOrOut:0	
userId:102,serialNumber:T2020080220343444967944975555576,cardNumber:6212261202030400102,dealTime:20200802205213449,InOrOut:0	
userId:103,serialNumber:T2020080220343444927950225944250,cardNumber:6212261202030400103,dealTime:20200802210119449,InOrOut:1	
userId:104,serialNumber:T2020080220343444987953466011207,cardNumber:6212261202030400104,dealTime:20200802211401449,InOrOut:0	
userId:105,serialNumber:T2020080220343444917916652516243,cardNumber:6212261202030400105,dealTime:20200802204945449,InOrOut:1	
userId:106,serialNumber:T2020080220343444937978318565450,cardNumber:6212261202030400106,dealTime:20200802205036449,InOrOut:1	
userId:107,serialNumber:T2020080220343444907929914811691,cardNumber:6212261202030400107,dealTime:20200802211104450,InOrOut:0	
userId:108,serialNumber:T2020080220343445057971039353132,cardNumber:6212261202030400108,dealTime:20200802212138450,InOrOut:1	
userId:109,serialNumber:T2020080220343445047915991879029,cardNumber:6212261202030400109,dealTime:20200802212946450,InOrOut:1	
userId:110,serialNumber:T2020080220343445079964965446678,cardNumber:6212261202030400110,dealTime:20200802211813450,InOrOut:0	
userId:111,serialNumber:T2020080220343445099972192988754,cardNumber:6212261202030400111,dealTime:20200802204226450,InOrOut:1	
userId:112,serialNumber:T2020080220343445069959833721874,cardNumber:6212261202030400112,dealTime:20200802210949450,InOrOut:1	
userId:113,serialNumber:T2020080220343445029954754622980,cardNumber:6212261202030400113,dealTime:20200802213400450,InOrOut:1	
userId:114,serialNumber:T2020080220343445089986490693147,cardNumber:6212261202030400114,dealTime:20200802205222450,InOrOut:1	
userId:115,serialNumber:T2020080220343445119943333587878,cardNumber:6212261202030400115,dealTime:20200802205507451,InOrOut:1	
userId:116,serialNumber:T2020080220343445139929429000618,cardNumber:6212261202030400116,dealTime:20200802210422451,InOrOut:1	
userId:117,serialNumber:T2020080220343445109960449143206,cardNumber:6212261202030400117,dealTime:20200802211946451,InOrOut:1	
userId:118,serialNumber:T2020080220343445159945297954238,cardNumber:6212261202030400118,dealTime:20200802212237451,InOrOut:1	
userId:119,serialNumber:T2020080220343445149916884629961,cardNumber:6212261202030400119,dealTime:20200802204029451,InOrOut:1	
userId:120,serialNumber:T2020080220343445176934099693599,cardNumber:6212261202030400120,dealTime:20200802203641451,InOrOut:0	
userId:121,serialNumber:T2020080220343445196918449037202,cardNumber:6212261202030400121,dealTime:20200802211203452,InOrOut:1	
userId:122,serialNumber:T2020080220343445266989236634307,cardNumber:6212261202030400122,dealTime:20200802211022452,InOrOut:1	
userId:123,serialNumber:T2020080220343445226977631640082,cardNumber:6212261202030400123,dealTime:20200802212315452,InOrOut:0	
userId:124,serialNumber:T2020080220343445286978617511927,cardNumber:6212261202030400124,dealTime:20200802213344452,InOrOut:1	
userId:125,serialNumber:T2020080220343445216986802686520,cardNumber:6212261202030400125,dealTime:20200802213407452,InOrOut:1	
userId:126,serialNumber:T2020080220343445236952559124478,cardNumber:6212261202030400126,dealTime:20200802204821453,InOrOut:1	
userId:127,serialNumber:T2020080220343445306934573668126,cardNumber:6212261202030400127,dealTime:20200802205603453,InOrOut:1	
userId:128,serialNumber:T2020080220343445356919530318914,cardNumber:6212261202030400128,dealTime:20200802203804453,InOrOut:1	
userId:129,serialNumber:T2020080220343445346960132709053,cardNumber:6212261202030400129,dealTime:20200802204611453,InOrOut:0	
userId:130,serialNumber:T2020080220343445372964667339075,cardNumber:6212261202030400130,dealTime:20200802211215453,InOrOut:0	
userId:131,serialNumber:T2020080220343445492949764417300,cardNumber:6212261202030400131,dealTime:20200802204125454,InOrOut:1	
userId:132,serialNumber:T2020080220343445462958597507936,cardNumber:6212261202030400132,dealTime:20200802204519454,InOrOut:1	
userId:133,serialNumber:T2020080220343445422962540493272,cardNumber:6212261202030400133,dealTime:20200802212342454,InOrOut:0	
userId:134,serialNumber:T2020080220343445482985049696439,cardNumber:6212261202030400134,dealTime:20200802210409454,InOrOut:0	
userId:135,serialNumber:T2020080220343445412984300473196,cardNumber:6212261202030400135,dealTime:20200802211732454,InOrOut:1	
userId:136,serialNumber:T2020080220343445432926404831734,cardNumber:6212261202030400136,dealTime:20200802210438454,InOrOut:1	
userId:137,serialNumber:T2020080220343445502949876979129,cardNumber:6212261202030400137,dealTime:20200802203851455,InOrOut:0	
userId:138,serialNumber:T2020080220343445552986950899311,cardNumber:6212261202030400138,dealTime:20200802203816455,InOrOut:0	
userId:139,serialNumber:T2020080220343445542936165181609,cardNumber:6212261202030400139,dealTime:20200802203932455,InOrOut:1	
userId:140,serialNumber:T2020080220343445578940540811724,cardNumber:6212261202030400140,dealTime:20200802212648455,InOrOut:1	
userId:141,serialNumber:T2020080220343445598983982930195,cardNumber:6212261202030400141,dealTime:20200802210637455,InOrOut:1	
userId:142,serialNumber:T2020080220343445568987337551874,cardNumber:6212261202030400142,dealTime:20200802205119455,InOrOut:0	
userId:143,serialNumber:T2020080220343445628964827417056,cardNumber:6212261202030400143,dealTime:20200802204529456,InOrOut:0	
userId:144,serialNumber:T2020080220343445688968997916717,cardNumber:6212261202030400144,dealTime:20200802213206456,InOrOut:0	
userId:145,serialNumber:T2020080220343445618983245018608,cardNumber:6212261202030400145,dealTime:20200802203558456,InOrOut:0	
userId:146,serialNumber:T2020080220343445638972693293556,cardNumber:6212261202030400146,dealTime:20200802204615456,InOrOut:0	
userId:147,serialNumber:T2020080220343445608933085445783,cardNumber:6212261202030400147,dealTime:20200802213154456,InOrOut:0	
userId:148,serialNumber:T2020080220343445658964962535403,cardNumber:6212261202030400148,dealTime:20200802212957456,InOrOut:1	
userId:149,serialNumber:T2020080220343445648985819073888,cardNumber:6212261202030400149,dealTime:20200802212044456,InOrOut:0	
userId:150,serialNumber:T2020080220343445671950988511088,cardNumber:6212261202030400150,dealTime:20200802212844457,InOrOut:1	
userId:151,serialNumber:T2020080220343445791986338457156,cardNumber:6212261202030400151,dealTime:20200802213406457,InOrOut:0	
userId:152,serialNumber:T2020080220343445761925103527597,cardNumber:6212261202030400152,dealTime:20200802212319457,InOrOut:0	
userId:153,serialNumber:T2020080220343445721930592756649,cardNumber:6212261202030400153,dealTime:20200802211432457,InOrOut:1	
userId:154,serialNumber:T2020080220343445781983313842076,cardNumber:6212261202030400154,dealTime:20200802211145457,InOrOut:0	
userId:155,serialNumber:T2020080220343445711937070193943,cardNumber:6212261202030400155,dealTime:20200802205951457,InOrOut:1	
userId:156,serialNumber:T2020080220343445731931678155933,cardNumber:6212261202030400156,dealTime:20200802205448457,InOrOut:1	
userId:157,serialNumber:T2020080220343445801984479932444,cardNumber:6212261202030400157,dealTime:20200802213425458,InOrOut:0	
userId:158,serialNumber:T2020080220343445851973743361167,cardNumber:6212261202030400158,dealTime:20200802205109458,InOrOut:0	
userId:159,serialNumber:T2020080220343445841960368884435,cardNumber:6212261202030400159,dealTime:20200802210902458,InOrOut:1	
userId:160,serialNumber:T2020080220343445873989108528871,cardNumber:6212261202030400160,dealTime:20200802210937458,InOrOut:0	
userId:161,serialNumber:T2020080220343445893967182892658,cardNumber:6212261202030400161,dealTime:20200802203733458,InOrOut:0	
userId:162,serialNumber:T2020080220343445863962106182636,cardNumber:6212261202030400162,dealTime:20200802204821458,InOrOut:1	
userId:163,serialNumber:T2020080220343445823985755581963,cardNumber:6212261202030400163,dealTime:20200802211939458,InOrOut:1	
userId:164,serialNumber:T2020080220343445883931279517258,cardNumber:6212261202030400164,dealTime:20200802212607458,InOrOut:1	
userId:165,serialNumber:T2020080220343445913911442007947,cardNumber:6212261202030400165,dealTime:20200802205235459,InOrOut:0	
userId:166,serialNumber:T2020080220343445933931129745109,cardNumber:6212261202030400166,dealTime:20200802211744459,InOrOut:0	
userId:167,serialNumber:T2020080220343445903948569685509,cardNumber:6212261202030400167,dealTime:20200802212833459,InOrOut:0	
userId:168,serialNumber:T2020080220343445953910236225464,cardNumber:6212261202030400168,dealTime:20200802211222459,InOrOut:1	
userId:169,serialNumber:T2020080220343445943958448643111,cardNumber:6212261202030400169,dealTime:20200802210907459,InOrOut:1	
userId:170,serialNumber:T2020080220343445970964751582523,cardNumber:6212261202030400170,dealTime:20200802204826459,InOrOut:1	
userId:171,serialNumber:T2020080220343446090962653209361,cardNumber:6212261202030400171,dealTime:20200802204947460,InOrOut:1	
userId:172,serialNumber:T2020080220343446060977977681580,cardNumber:6212261202030400172,dealTime:20200802211107460,InOrOut:0	
userId:173,serialNumber:T2020080220343446020982456545437,cardNumber:6212261202030400173,dealTime:20200802210450460,InOrOut:1	
userId:174,serialNumber:T2020080220343446080964469128418,cardNumber:6212261202030400174,dealTime:20200802210447460,InOrOut:0	
userId:175,serialNumber:T2020080220343446010932431052817,cardNumber:6212261202030400175,dealTime:20200802203541460,InOrOut:0	
userId:176,serialNumber:T2020080220343446030954768464051,cardNumber:6212261202030400176,dealTime:20200802212653460,InOrOut:1	
userId:177,serialNumber:T2020080220343446000920923944296,cardNumber:6212261202030400177,dealTime:20200802204644460,InOrOut:1	
userId:178,serialNumber:T2020080220343446050951139889612,cardNumber:6212261202030400178,dealTime:20200802211802460,InOrOut:1	
userId:179,serialNumber:T2020080220343446140962280090164,cardNumber:6212261202030400179,dealTime:20200802213419461,InOrOut:1	
userId:180,serialNumber:T2020080220343446175968692715749,cardNumber:6212261202030400180,dealTime:20200802204327461,InOrOut:1	
userId:181,serialNumber:T2020080220343446195929554346630,cardNumber:6212261202030400181,dealTime:20200802205002461,InOrOut:1	
userId:182,serialNumber:T2020080220343446165987482913378,cardNumber:6212261202030400182,dealTime:20200802204649461,InOrOut:1	
userId:183,serialNumber:T2020080220343446125978711225242,cardNumber:6212261202030400183,dealTime:20200802203555461,InOrOut:0	
userId:184,serialNumber:T2020080220343446185968683412398,cardNumber:6212261202030400184,dealTime:20200802203725461,InOrOut:0	
userId:185,serialNumber:T2020080220343446115943540482298,cardNumber:6212261202030400185,dealTime:20200802211804461,InOrOut:0	
userId:186,serialNumber:T2020080220343446235910303902457,cardNumber:6212261202030400186,dealTime:20200802205057462,InOrOut:0	
userId:187,serialNumber:T2020080220343446205960136805234,cardNumber:6212261202030400187,dealTime:20200802212034462,InOrOut:0	
userId:188,serialNumber:T2020080220343446255949219232636,cardNumber:6212261202030400188,dealTime:20200802211520462,InOrOut:1	
userId:189,serialNumber:T2020080220343446245984872096169,cardNumber:6212261202030400189,dealTime:20200802211301462,InOrOut:1	
userId:190,serialNumber:T2020080220343446274929347460930,cardNumber:6212261202030400190,dealTime:20200802211248462,InOrOut:0	
userId:191,serialNumber:T2020080220343446294920582625089,cardNumber:6212261202030400191,dealTime:20200802203454462,InOrOut:0	
userId:192,serialNumber:T2020080220343446264917502027500,cardNumber:6212261202030400192,dealTime:20200802213135462,InOrOut:0	
userId:193,serialNumber:T2020080220343446324921747714536,cardNumber:6212261202030400193,dealTime:20200802210138463,InOrOut:0	
userId:194,serialNumber:T2020080220343446384932324972472,cardNumber:6212261202030400194,dealTime:20200802213011463,InOrOut:0	
userId:195,serialNumber:T2020080220343446314913645358975,cardNumber:6212261202030400195,dealTime:20200802205203463,InOrOut:0	
userId:196,serialNumber:T2020080220343446334934066227423,cardNumber:6212261202030400196,dealTime:20200802210607463,InOrOut:0	
userId:197,serialNumber:T2020080220343446304959635410221,cardNumber:6212261202030400197,dealTime:20200802213236463,InOrOut:0	
userId:198,serialNumber:T2020080220343446354935473436892,cardNumber:6212261202030400198,dealTime:20200802212142463,InOrOut:0	
userId:199,serialNumber:T2020080220343446444926075957976,cardNumber:6212261202030400199,dealTime:20200802205634464,InOrOut:0	
userId:200,serialNumber:T2020080220343446477612100020270,cardNumber:6212261202030400200,dealTime:20200802204353464,InOrOut:0	
userId:201,serialNumber:T2020080220343446597685594225768,cardNumber:6212261202030400201,dealTime:20200802204605465,InOrOut:1	
userId:202,serialNumber:T2020080220343446567623918651647,cardNumber:6212261202030400202,dealTime:20200802204735465,InOrOut:0	
userId:203,serialNumber:T2020080220343446527677785977989,cardNumber:6212261202030400203,dealTime:20200802211341465,InOrOut:0	
userId:204,serialNumber:T2020080220343446587618077350819,cardNumber:6212261202030400204,dealTime:20200802212757465,InOrOut:1	
userId:205,serialNumber:T2020080220343446517664736478689,cardNumber:6212261202030400205,dealTime:20200802211849465,InOrOut:0	
userId:206,serialNumber:T2020080220343446537680768919338,cardNumber:6212261202030400206,dealTime:20200802204913465,InOrOut:0	
userId:207,serialNumber:T2020080220343446507640103755513,cardNumber:6212261202030400207,dealTime:20200802210726465,InOrOut:1	
userId:208,serialNumber:T2020080220343446557683948071437,cardNumber:6212261202030400208,dealTime:20200802211834465,InOrOut:1	
userId:209,serialNumber:T2020080220343446647641334077866,cardNumber:6212261202030400209,dealTime:20200802204728466,InOrOut:0	
userId:210,serialNumber:T2020080220343446679627533540044,cardNumber:6212261202030400210,dealTime:20200802212547466,InOrOut:0	
userId:211,serialNumber:T2020080220343446699614098276740,cardNumber:6212261202030400211,dealTime:20200802213311466,InOrOut:1	
userId:212,serialNumber:T2020080220343446669684717054796,cardNumber:6212261202030400212,dealTime:20200802212443466,InOrOut:0	
userId:213,serialNumber:T2020080220343446629622367896020,cardNumber:6212261202030400213,dealTime:20200802213125466,InOrOut:0	
userId:214,serialNumber:T2020080220343446689681216859466,cardNumber:6212261202030400214,dealTime:20200802210953466,InOrOut:1	
userId:215,serialNumber:T2020080220343446619676972908223,cardNumber:6212261202030400215,dealTime:20200802211405466,InOrOut:0	
userId:216,serialNumber:T2020080220343446639625839559806,cardNumber:6212261202030400216,dealTime:20200802210443466,InOrOut:0	
userId:217,serialNumber:T2020080220343446709671671287122,cardNumber:6212261202030400217,dealTime:20200802212353467,InOrOut:1	
userId:218,serialNumber:T2020080220343446759645290176644,cardNumber:6212261202030400218,dealTime:20200802204015467,InOrOut:1	
userId:219,serialNumber:T2020080220343446749677171360231,cardNumber:6212261202030400219,dealTime:20200802210246467,InOrOut:1	
userId:220,serialNumber:T2020080220343446776637073846904,cardNumber:6212261202030400220,dealTime:20200802210617467,InOrOut:1	
userId:221,serialNumber:T2020080220343446796638529937551,cardNumber:6212261202030400221,dealTime:20200802210833467,InOrOut:1	
userId:222,serialNumber:T2020080220343446766612833970007,cardNumber:6212261202030400222,dealTime:20200802205516467,InOrOut:0	
userId:223,serialNumber:T2020080220343446726629957135032,cardNumber:6212261202030400223,dealTime:20200802211904467,InOrOut:1	
userId:224,serialNumber:T2020080220343446786679846852623,cardNumber:6212261202030400224,dealTime:20200802205435467,InOrOut:1	
userId:225,serialNumber:T2020080220343446716677956927484,cardNumber:6212261202030400225,dealTime:20200802212822467,InOrOut:0	
userId:226,serialNumber:T2020080220343446836654395813473,cardNumber:6212261202030400226,dealTime:20200802212846468,InOrOut:1	
userId:227,serialNumber:T2020080220343446806614759300912,cardNumber:6212261202030400227,dealTime:20200802210803468,InOrOut:0	
userId:228,serialNumber:T2020080220343446856664951217663,cardNumber:6212261202030400228,dealTime:20200802211256468,InOrOut:1	
userId:229,serialNumber:T2020080220343446846672378072271,cardNumber:6212261202030400229,dealTime:20200802205254468,InOrOut:1	
userId:230,serialNumber:T2020080220343446872633059898686,cardNumber:6212261202030400230,dealTime:20200802212932468,InOrOut:1	
userId:231,serialNumber:T2020080220343446892656729966012,cardNumber:6212261202030400231,dealTime:20200802213255468,InOrOut:0	
userId:232,serialNumber:T2020080220343446862660153805141,cardNumber:6212261202030400232,dealTime:20200802211712468,InOrOut:1	
userId:233,serialNumber:T2020080220343446822625906764976,cardNumber:6212261202030400233,dealTime:20200802212058468,InOrOut:1	
userId:234,serialNumber:T2020080220343446882616487863615,cardNumber:6212261202030400234,dealTime:20200802213405468,InOrOut:1	
userId:235,serialNumber:T2020080220343446912631246659134,cardNumber:6212261202030400235,dealTime:20200802205318469,InOrOut:1	
